año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,2.0,2.0,5.0,4.0,3.0,3243182.0,181
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,3,3,1,1.0,2.0,3.0,4.0,3.0,3793340.0,182
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,3,3,1,1.0,2.0,6.0,4.0,1.0,2124000.0,183
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,3,3,1,1.0,2.0,6.0,5.0,1.0,2482000.0,184
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,3,3,1,2.0,2.0,4.0,4.0,1.0,921848.0,185
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,3,3,1,2.0,3.0,4.0,4.0,1.0,1440000.0,186
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,4,4,1,1.0,2.0,5.0,4.0,1.0,1001728.0,187
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,4,4,1,1.0,2.0,5.0,5.0,1.0,1290937.0,188
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,4,4,1,2.0,2.0,6.0,4.0,1.0,1803991.0,189
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,2,2.0,2.0,4.0,4.0,1.0,372321.62,190
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,1,1.0,2.0,4.0,3.0,1.0,1068333.0,191
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,1,1.0,2.0,4.0,4.0,1.0,1212485.23,192
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,1,1.0,2.0,5.0,3.0,1.0,1068333.0,193
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,1,1.0,2.0,5.0,4.0,3.0,3677083.0,194
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,1,2.0,2.0,3.0,4.0,1.0,1148504.0,195
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,1,2,1,2.0,2.0,4.0,4.0,1.0,1348606.73,196
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,3,3,1,1.0,2.0,3.0,4.0,2.0,1958000.0,197
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,3,3,1,1.0,2.0,5.0,4.0,1.0,1618193.41,198
2024,1,21.0,Puebla,41.0,Cuautlancingo,3,3,3,1,2.0,2.0,3.0,3.0,1.0,1098949.12,199
2024,1,21.0,Puebla,41.0,Cuautlancingo,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,200
2024,1,21.0,Puebla,44.0,Cuyoaco,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,201
2024,1,21.0,Puebla,45.0,Chalchicomula de Sesma,1,2,1,2,1.0,2.0,0.0,0.0,1.0,134953.0,202
2024,1,21.0,Puebla,45.0,Chalchicomula de Sesma,3,3,3,1,2.0,2.0,2.0,5.0,1.0,805939.86,203
2024,1,21.0,Puebla,45.0,Chalchicomula de Sesma,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,204
2024,1,21.0,Puebla,46.0,Chapulco,1,2,1,2,2.0,2.0,0.0,0.0,1.0,20324.0,205
2024,1,21.0,Puebla,47.0,Chiautla,1,2,1,2,1.0,2.0,2.0,0.0,1.0,0.0,206
2024,1,21.0,Puebla,48.0,Chiautzingo,1,2,1,2,2.0,2.0,1.0,0.0,1.0,0.0,207
2024,1,21.0,Puebla,48.0,Chiautzingo,4,2,1,1,1.0,3.0,0.0,0.0,1.0,0.0,208
2024,1,21.0,Puebla,48.0,Chiautzingo,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,209
2024,1,21.0,Puebla,51.0,Chietla,1,2,1,2,1.0,1.0,2.0,0.0,1.0,0.0,210
2024,1,21.0,Puebla,51.0,Chietla,1,2,1,2,1.0,2.0,2.0,0.0,3.0,0.0,211
2024,1,21.0,Puebla,51.0,Chietla,1,2,1,2,1.0,2.0,4.0,0.0,1.0,0.0,212
2024,1,21.0,Puebla,51.0,Chietla,1,2,1,2,1.0,2.0,6.0,0.0,1.0,0.0,213
2024,1,21.0,Puebla,53.0,Chignahuapan,4,2,1,1,1.0,2.0,0.0,0.0,1.0,0.0,214
2024,1,21.0,Puebla,60.0,Domingo Arenas,4,2,1,1,2.0,2.0,0.0,0.0,3.0,0.0,215
2024,1,21.0,Puebla,65.0,General Felipe Ángeles,4,2,1,1,1.0,2.0,0.0,0.0,1.0,0.0,216
2024,1,21.0,Puebla,66.0,Guadalupe,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,217
2024,1,21.0,Puebla,66.0,Guadalupe,4,2,1,1,2.0,3.0,0.0,0.0,1.0,0.0,218
2024,1,21.0,Puebla,71.0,Huauchinango,1,3,3,2,1.0,2.0,4.0,4.0,1.0,951556.07,219
2024,1,21.0,Puebla,71.0,Huauchinango,1,3,3,1,2.0,2.0,2.0,2.0,1.0,511856.53,220
2024,1,21.0,Puebla,71.0,Huauchinango,1,3,3,1,2.0,2.0,6.0,4.0,1.0,1711435.44,221
2024,1,21.0,Puebla,71.0,Huauchinango,3,1,5,1,2.0,2.0,2.0,3.0,1.0,666939.88,222
2024,1,21.0,Puebla,71.0,Huauchinango,3,3,3,1,2.0,2.0,2.0,4.0,1.0,669295.21,223
2024,1,21.0,Puebla,74.0,Huejotzingo,1,1,2,2,1.0,2.0,1.0,4.0,1.0,476364.28,224
